t fi z E
3.360000 0.159186 2.528803 0.803609
3.370000 0.137174 2.536155 0.804593
3.380000 0.114988 2.543544 0.805627
3.390000 0.092679 2.550968 0.806701
3.400000 0.070297 2.558431 0.807804
3.410000 0.047892 2.565931 0.808927
3.420000 0.025514 2.573471 0.810057
3.430000 0.003212 2.581049 0.811186
3.440000 -0.018966 2.588666 0.812302
3.450000 -0.040972 2.596321 0.813396
3.460000 -0.062761 2.604014 0.814456
3.470000 -0.084287 2.611743 0.815475
3.480000 -0.105505 2.619509 0.816444
3.490000 -0.126373 2.627310 0.817353
3.500000 -0.146848 2.635143 0.818197
3.510000 -0.166892 2.643008 0.818968
3.520000 -0.186466 2.650903 0.819661
3.530000 -0.205533 2.658825 0.820270
3.540000 -0.224057 2.666773 0.820793
3.550000 -0.242005 2.674745 0.821225
3.560000 -0.259346 2.682737 0.821566
3.570000 -0.276050 2.690748 0.821813
3.580000 -0.292089 2.698776 0.821966
3.590000 -0.307436 2.706817 0.822026
3.600000 -0.322068 2.714870 0.821995
3.610000 -0.335961 2.722931 0.821873
3.620000 -0.349097 2.730999 0.821663
3.630000 -0.361455 2.739071 0.821370
3.640000 -0.373019 2.747145 0.820996
3.650000 -0.383774 2.755218 0.820546
3.660000 -0.393708 2.763288 0.820025
3.670000 -0.402807 2.771354 0.819438
3.680000 -0.411064 2.779413 0.818791
3.690000 -0.418471 2.787464 0.818089
3.700000 -0.425020 2.795505 0.817338
3.710000 -0.430707 2.803535 0.816545
3.720000 -0.435531 2.811552 0.815716
3.730000 -0.439488 2.819555 0.814857
3.740000 -0.442581 2.827544 0.813975
3.750000 -0.444810 2.835517 0.813077
3.760000 -0.446179 2.843474 0.812168
3.770000 -0.446692 2.851415 0.811256
3.780000 -0.446357 2.859340 0.810347
3.790000 -0.445180 2.867248 0.809447
3.800000 -0.443171 2.875139 0.808563
3.810000 -0.440340 2.883015 0.807699
3.820000 -0.436699 2.890875 0.806863
3.830000 -0.432261 2.898721 0.806060
3.840000 -0.427039 2.906553 0.805294
3.850000 -0.421049 2.914372 0.804572
3.860000 -0.414309 2.922180 0.803898
3.870000 -0.406835 2.929977 0.803277
3.880000 -0.398647 2.937766 0.802712
3.890000 -0.389764 2.945547 0.802207
3.900000 -0.380207 2.953323 0.801766
3.910000 -0.369999 2.961094 0.801392
3.920000 -0.359162 2.968864 0.801086
3.930000 -0.347721 2.976634 0.800852
3.940000 -0.335701 2.984405 0.800691
3.950000 -0.323126 2.992180 0.800603
3.960000 -0.310024 2.999960 0.800590
3.970000 -0.296422 3.007748 0.800651
3.980000 -0.282348 3.015545 0.800785
3.990000 -0.267831 3.023353 0.800991
4.000000 -0.252900 3.031175 0.801269
4.010000 -0.237585 3.039012 0.801615
4.020000 -0.221917 3.046865 0.802026
4.030000 -0.205925 3.054737 0.802500
4.040000 -0.189643 3.062629 0.803033
4.050000 -0.173100 3.070543 0.803621
4.060000 -0.156330 3.078479 0.804259
4.070000 -0.139363 3.086439 0.804942
4.080000 -0.122233 3.094425 0.805664
4.090000 -0.104970 3.102437 0.806421
4.100000 -0.087609 3.110475 0.807206
4.110000 -0.070180 3.118541 0.808013
4.120000 -0.052716 3.126636 0.808835
4.130000 -0.035248 3.134758 0.809668
4.140000 -0.017807 3.142910 0.810503
4.150000 -0.000426 3.151090 0.811336
4.160000 0.016866 3.159299 0.812160
4.170000 0.034038 3.167537 0.812968
4.180000 0.051061 3.175803 0.813755
4.190000 0.067906 3.184096 0.814516
4.200000 0.084544 3.192416 0.815245
4.210000 0.100947 3.200762 0.815936
4.220000 0.117089 3.209133 0.816587
4.230000 0.132944 3.217528 0.817191
4.240000 0.148485 3.225946 0.817746
4.250000 0.163690 3.234386 0.818248
4.260000 0.178533 3.242846 0.818694
4.270000 0.192994 3.251325 0.819082
4.280000 0.207049 3.259821 0.819409
4.290000 0.220679 3.268333 0.819676
4.300000 0.233864 3.276860 0.819879
4.310000 0.246585 3.285399 0.820020
4.320000 0.258826 3.293949 0.820098
4.330000 0.270568 3.302508 0.820113
4.340000 0.281798 3.311075 0.820066
4.350000 0.292501 3.319647 0.819959
4.360000 0.302663 3.328224 0.819792
4.370000 0.312273 3.336804 0.819568
4.380000 0.321319 3.345385 0.819290
4.390000 0.329791 3.353965 0.818959
4.400000 0.337681 3.362544 0.818579
4.410000 0.344980 3.371120 0.818152
4.420000 0.351682 3.379691 0.817682
4.430000 0.357781 3.388256 0.817173
4.440000 0.363271 3.396814 0.816628
4.450000 0.368150 3.405365 0.816050
4.460000 0.372413 3.413906 0.815445
4.470000 0.376061 3.422438 0.814815
4.480000 0.379090 3.430960 0.814166
4.490000 0.381502 3.439470 0.813500
4.500000 0.383298 3.447970 0.812823
4.510000 0.384479 3.456457 0.812137
4.520000 0.385048 3.464932 0.811449
4.530000 0.385009 3.473394 0.810761
4.540000 0.384366 3.481845 0.810077
4.550000 0.383125 3.490283 0.809403
4.560000 0.381292 3.498709 0.808740
4.570000 0.378873 3.507124 0.808094
4.580000 0.375878 3.515527 0.807469
4.590000 0.372313 3.523919 0.806866
4.600000 0.368188 3.532301 0.806291
4.610000 0.363514 3.540673 0.805745
4.620000 0.358302 3.549037 0.805233
4.630000 0.352562 3.557393 0.804757
4.640000 0.346307 3.565743 0.804319
4.650000 0.339549 3.574086 0.803923
4.660000 0.332303 3.582425 0.803570
4.670000 0.324581 3.590760 0.803261
4.680000 0.316400 3.599093 0.803000
4.690000 0.307774 3.607425 0.802786
4.700000 0.298718 3.615757 0.802622
4.710000 0.289250 3.624091 0.802508
4.720000 0.279385 3.632427 0.802445
4.730000 0.269142 3.640767 0.802432
4.740000 0.258538 3.649113 0.802470
4.750000 0.247591 3.657466 0.802559
4.760000 0.236320 3.665827 0.802697
4.770000 0.224743 3.674197 0.802883
4.780000 0.212880 3.682577 0.803117
4.790000 0.200752 3.690970 0.803397
4.800000 0.188376 3.699375 0.803720
4.810000 0.175774 3.707795 0.804086
4.820000 0.162966 3.716230 0.804490
4.830000 0.149972 3.724681 0.804931
4.840000 0.136813 3.733149 0.805407
4.850000 0.123510 3.741635 0.805912
4.860000 0.110083 3.750139 0.806446
4.870000 0.096553 3.758663 0.807003
4.880000 0.082942 3.767207 0.807581
4.890000 0.069269 3.775772 0.808176
4.900000 0.055556 3.784357 0.808784
4.910000 0.041824 3.792964 0.809401
4.920000 0.028092 3.801592 0.810024
4.930000 0.014381 3.810241 0.810648
4.940000 0.000711 3.818912 0.811270
4.950000 -0.012897 3.827605 0.811886
4.960000 -0.026425 3.836319 0.812493
4.970000 -0.039854 3.845054 0.813086
4.980000 -0.053163 3.853809 0.813663
4.990000 -0.066334 3.862586 0.814219
5.000000 -0.079350 3.871382 0.814753
5.010000 -0.092193 3.880197 0.815260
5.020000 -0.104845 3.889031 0.815738
5.030000 -0.117288 3.897882 0.816185
5.040000 -0.129508 3.906751 0.816599
5.050000 -0.141488 3.915636 0.816976
5.060000 -0.153212 3.924536 0.817316
5.070000 -0.164665 3.933450 0.817616
5.080000 -0.175834 3.942378 0.817877
5.090000 -0.186705 3.951318 0.818095
5.100000 -0.197264 3.960269 0.818271
5.110000 -0.207499 3.969230 0.818405
5.120000 -0.217398 3.978200 0.818495
5.130000 -0.226949 3.987178 0.818543
5.140000 -0.236142 3.996163 0.818547
5.150000 -0.244967 4.005153 0.818509
5.160000 -0.253414 4.014147 0.818429
5.170000 -0.261475 4.023145 0.818309
5.180000 -0.269140 4.032145 0.818149
5.190000 -0.276403 4.041146 0.817950
5.200000 -0.283256 4.050147 0.817715
5.210000 -0.289694 4.059147 0.817445
5.220000 -0.295710 4.068145 0.817141
5.230000 -0.301299 4.077140 0.816806
5.240000 -0.306457 4.086131 0.816442
5.250000 -0.311180 4.095118 0.816050
5.260000 -0.315465 4.104100 0.815634
5.270000 -0.319308 4.113075 0.815196
5.280000 -0.322709 4.122044 0.814737
5.290000 -0.325665 4.131005 0.814262
5.300000 -0.328176 4.139959 0.813771
5.310000 -0.330241 4.148905 0.813269
5.320000 -0.331861 4.157842 0.812757
5.330000 -0.333036 4.166770 0.812238
5.340000 -0.333768 4.175689 0.811715
5.350000 -0.334058 4.184599 0.811191
5.360000 -0.333910 4.193499 0.810668
5.370000 -0.333326 4.202390 0.810148
5.380000 -0.332309 4.211272 0.809635
5.390000 -0.330864 4.220145 0.809131
5.400000 -0.328995 4.229009 0.808638
5.410000 -0.326708 4.237865 0.808159
5.420000 -0.324007 4.246712 0.807695
5.430000 -0.320898 4.255552 0.807250
5.440000 -0.317389 4.264384 0.806825
5.450000 -0.313485 4.273209 0.806422
5.460000 -0.309194 4.282028 0.806044
5.470000 -0.304524 4.290841 0.805691
5.480000 -0.299483 4.299650 0.805366
5.490000 -0.294080 4.308454 0.805070
5.500000 -0.288322 4.317255 0.804804
5.510000 -0.282221 4.326053 0.804569
5.520000 -0.275785 4.334849 0.804367
5.530000 -0.269023 4.343645 0.804199
5.540000 -0.261948 4.352440 0.804065
5.550000 -0.254569 4.361236 0.803965
5.560000 -0.246897 4.370034 0.803900
5.570000 -0.238944 4.378834 0.803871
5.580000 -0.230720 4.387639 0.803877
5.590000 -0.222239 4.396447 0.803918
5.600000 -0.213512 4.405261 0.803993
5.610000 -0.204551 4.414081 0.804103
5.620000 -0.195368 4.422909 0.804246
5.630000 -0.185978 4.431744 0.804422
5.640000 -0.176391 4.440589 0.804630
5.650000 -0.166622 4.449443 0.804869
5.660000 -0.156684 4.458307 0.805136
5.670000 -0.146590 4.467183 0.805431
5.680000 -0.136353 4.476071 0.805752
5.690000 -0.125988 4.484971 0.806098
5.700000 -0.115507 4.493885 0.806466
5.710000 -0.104924 4.502812 0.806854
5.720000 -0.094254 4.511753 0.807261
5.730000 -0.083509 4.520710 0.807685
5.740000 -0.072704 4.529681 0.808122
5.750000 -0.061852 4.538668 0.808571
5.760000 -0.050967 4.547671 0.809030
5.770000 -0.040062 4.556689 0.809495
5.780000 -0.029151 4.565724 0.809965
5.790000 -0.018249 4.574775 0.810438
5.800000 -0.007366 4.583843 0.810910
5.810000 0.003482 4.592927 0.811380
5.820000 0.014282 4.602027 0.811845
5.830000 0.025023 4.611144 0.812303
5.840000 0.035691 4.620276 0.812752
5.850000 0.046274 4.629424 0.813189
5.860000 0.056759 4.638588 0.813612
5.870000 0.067135 4.647767 0.814020
5.880000 0.077388 4.656960 0.814410
5.890000 0.087509 4.666168 0.814781
5.900000 0.097485 4.675389 0.815132
5.910000 0.107305 4.684624 0.815459
5.920000 0.116959 4.693871 0.815763
5.930000 0.126436 4.703131 0.816042
5.940000 0.135727 4.712401 0.816295
5.950000 0.144820 4.721683 0.816520
5.960000 0.153706 4.730975 0.816717
